id,question,choices,answerKey,source
1,"ما هو البحر الشعري لهذا البيت
                        صرمَت ظليمةُ خُلّتي ومراسلي - وتباعدَت ضنّاً بزاد الراحلِ?","{'text': ['الكامل', 'مخلع الرجز', 'أحذ المديد', 'المجتث'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
3,"ما هو البحر الشعري لهذا البيت
                        جهلاً وما تدري ظليمة أَنّني - قد أستقلُّ بصرم غير الواصِلِ?","{'text': ['الكامل', 'مجزوء الرجز', 'السلسلة', 'الخفيف'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
5,"ما هو البحر الشعري لهذا البيت
                        ذُلُلٌ ركابي حيثُ شئتُ مُشَيّعي - أنّي أروعُ قطا المكانِ الغافلِ?","{'text': ['الكامل', 'تفعيلة الرمل', 'البسيط', 'التفعيله'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
7,"ما هو البحر الشعري لهذا البيت
                        أَظليمَ ما يُدريكِ رُبّة خُلّةٍ - حسنٌ ترغَّمُها كَظَبي الحائلِ?","{'text': ['الكامل', 'مخلع الرمل', 'مجزوء الكامل', 'المضارع'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
9,"ما هو البحر الشعري لهذا البيت
                        قد بِتُ مالكَها وشاربَ قهوةٍ - درياقةٍ روّيت منها وَاغلى?","{'text': ['الكامل', 'التفعيله', 'مجزوء المواليا', 'مجزوء السريع'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
11,"ما هو البحر الشعري لهذا البيت
                        بيضاءَ صافيةٍ يُرى مِن دونه - قعرُ الأناء يُضيء وجه الناهلِ?","{'text': ['الكامل', 'منهوك الكامل', 'مجزوء الكامل', 'المقتضب'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
13,"ما هو البحر الشعري لهذا البيت
                        وسرابَ هاجِرةٍ قطعتُ إذا جرى - فوقَ الأكام بذاتِ لونٍ باذلِ?","{'text': ['الكامل', 'الرمل', 'السريع', 'المتدارك المنهوك'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
15,"ما هو البحر الشعري لهذا البيت
                        أُجُدٌ مراحُلها كأَنَّ عِفاءه - سقطانِ من كتفي ظليم جافلِ?","{'text': ['الكامل', 'مجزوء المتقارب', 'مجزوء السريع', 'منهوك الكامل'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
17,"ما هو البحر الشعري لهذا البيت
                        فَلَنأكُلَنَّ بناجزٍ من مالن - وَلنَشربنَّ بدَينِ عام قابلِ?","{'text': ['الكامل', 'مجزوء موشح', 'مربع البسيط', 'مخلع البسيط'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
19,"ما هو البحر الشعري لهذا البيت
                        إِنّي مِنَ القومِ الذين إذا انتَدو - بدأوا بِبِرّ اللَهِ ثمَّ النائلِ?","{'text': ['الكامل', 'الخبب', 'الوافر', 'المتدارك المنهوك'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
21,"ما هو البحر الشعري لهذا البيت
                        المانعين مِنَ الخنا جيرانّهم - والحاشدين على طعَامِ النازلِ?","{'text': ['الكامل', 'أحذ الكامل', 'الطويل', 'موشح'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
23,"ما هو البحر الشعري لهذا البيت
                        والخالطينَ غنيّهم بفقيرهم - والباذلينَ عَطاءَهم للسائلِ?","{'text': ['الكامل', 'تفعيلة المتقارب', 'مخلع السريع', 'أحذ الكامل'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
25,"ما هو البحر الشعري لهذا البيت
                        والضاربينَ الكبشَ يبرُقُ بَيضُهُ - ضربَ المهنّدِ عن حياضِ الناهلِ?","{'text': ['الكامل', 'مشطور الرجز', 'منهوك الكامل', 'مجزوء المتقارب'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
27,"ما هو البحر الشعري لهذا البيت
                        والعاطفين على المصافِ خيولَهم - والمُلحقينَ رماحَهم بالقاتلِ?","{'text': ['الكامل', 'الخبب', 'مجزوء الهزج', 'مشطور الطويل'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
29,"ما هو البحر الشعري لهذا البيت
                        والمدركينَ عدوّهم بذُحُولهم - والنازلينَ لضربِ كلّ مُنازلِ?","{'text': ['الكامل', 'تفعيلة الكامل', 'المتقارب', 'تفعيلة الرجز'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
31,"ما هو البحر الشعري لهذا البيت
                        والقائلين معاً خُذُوا أقرانَكُم - إِنَّ المنيّة من وراء الوائلِ?","{'text': ['الكامل', 'المنسرح', 'أحذ الكامل', 'المتقارب'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
33,"ما هو البحر الشعري لهذا البيت
                        خُزرٍ عيوُنُهُم الى أعدائِهم - يمشونَ مشي الأُسدِ تحت الوابِلِ?","{'text': ['الكامل', 'مجزوء الدوبيت', 'مجزوء الرجز', 'المقتضب'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
35,"ما هو البحر الشعري لهذا البيت
                        ليسوا بأنكاسٍ ولا ميلٍ اذ - ما الحربُ شُبّت اشعلوا بالشاعلِ?","{'text': ['الكامل', 'الخبب', 'مجزوء المديد', 'مجزوء الخفيف'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
37,"ما هو البحر الشعري لهذا البيت
                        لا يطبعون وهم على أحسابهم - يشفون بالأَحلامِ داءَ الجاهلِ?","{'text': ['الكامل', 'الرجز', 'مجزوء المتقارب', 'الخفيف'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
39,"ما هو البحر الشعري لهذا البيت
                        والقائلين فلا يعابُ خطيبُهم - يومَ المقالةِ بالكلامِ الفاصلِ?","{'text': ['الكامل', 'المديد', 'المضارع', 'القوما'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem25.html
41,"ما هو البحر الشعري لهذا البيت
                        خَلَّى يَتَامَى كَانَ يُحسنُ أَسوَهُم - وَيكُفُّهُم في كُلِّ عَامٍ جَاهِدِ?","{'text': ['الكامل', 'منهوك الرجز', 'مشطور الطويل', 'البسيط'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem38.html
43,"ما هو البحر الشعري لهذا البيت
                        مِن سَيبِ ذِي فَجَرِ يُقَسِّمُ مَالَهُ - فِينا ويَشكُد فوقَ شُكد الشاكِد?","{'text': ['الكامل', 'القوما', 'مخلع البسيط', 'مجزوء المنسرح'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem38.html
45,"ما هو البحر الشعري لهذا البيت
                        وَمَعِيَّةُ العُلَمَاءِ يُخشَى فَافُه - أسواً وأُمُّ دِمَاغِهَا كالفَاسِدِ?","{'text': ['الكامل', 'منهوك الكامل', 'مخلع الرمل', 'المتقارب'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem38.html
47,"ما هو البحر الشعري لهذا البيت
                        أبرأتَهَا إِذ كُنتَ أَنتَ طَبيبهَ - حَتَّى تُؤَدِّيَها كَعَهدِ العَاهِدِ?","{'text': ['الكامل', 'مجزوء المنسرح', 'الرجز', 'تفعيلة المتقارب'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem38.html
49,"ما هو البحر الشعري لهذا البيت
                        لِمَنِ الدِيارُ غَشِيتُهابِسُحامِ - فَعَمايَتَينِفَهُضبُذي أَقدامِ?","{'text': ['الكامل', 'مجزوء المجتث', 'مشطور الرجز', 'الهزج'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem64.html
51,"ما هو البحر الشعري لهذا البيت
                        فَصَفا الأَطيطِ فَصاحَتَينِ فَغاضِرٍ - تَمشي النِعاجُ بِها مَعَالآرامِ?","{'text': ['الكامل', 'مجزوء الهزج', 'مشطور الرجز', 'السريع'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem64.html
53,"ما هو البحر الشعري لهذا البيت
                        دارٌ لِهِندٍ وَالرَبابِ وَفَرتَنى - وَلَميسَ قَبلَ حَوادِثِ الأَيّامِ?","{'text': ['الكامل', 'مجزوء المديد', 'موشح', 'أحذ الوافر'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem64.html
55,"ما هو البحر الشعري لهذا البيت
                        عوجاعَلى الطَلَلِالمَحيلِلِأَنَنا - نَبكي الدِيارَ كَما بَكىاِبنُ خِذامِ?","{'text': ['الكامل', 'مجزوء المواليا', 'التفعيله', 'مخلع البسيط'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem64.html
57,"ما هو البحر الشعري لهذا البيت
                        أَو ما تَرىأَظعانَهُنَّبَواكِراً - كَالنَخلِ مِنشَوكانَحينَصِرامِ?","{'text': ['الكامل', 'تفعيلة الرجز', 'مجزوء السريع', 'أحذ الوافر'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem64.html
59,"ما هو البحر الشعري لهذا البيت
                        حوراًتُعَلَّلُ بِالعَبيرِ جُلودُها - بيضُ الوُجوهِ نَواعِمُ الأَجسامِ?","{'text': ['الكامل', 'مخلع الكامل', 'مجزوء الرجز', 'الكامل المقطوع'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem64.html
61,"ما هو البحر الشعري لهذا البيت
                        فَظَلِلتُ فيدِمَنِالدِيارِ كَأَنَّني - نَشوانُ باكِرَةٌ صَبوحُ مُدامِ?","{'text': ['الكامل', 'المقتضب', 'السلسلة', 'تفعيلة الكامل'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem64.html
63,"ما هو البحر الشعري لهذا البيت
                        أُنُفٍ كَلَونِ دَمِ الغَزالِ مُعَتَّقٍ - مِن خَمرِعانَةَأَو كُرومِشَبامِ?","{'text': ['الكامل', 'مجزوء السريع', 'مجزوء المتقارب', 'مخلع الكامل'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem64.html
65,"ما هو البحر الشعري لهذا البيت
                        وَكَأَنَّ شارِبَها أَصابَ لِسانَهُ - مومٌيُخالِطُ جِسمَهُ بِسَقامِ?","{'text': ['الكامل', 'المنسرح', 'السريع', 'الخبب'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem64.html
67,"ما هو البحر الشعري لهذا البيت
                        وَمُجِدَّةٌنَسَّأتُهافَتَكَمَّشَت - رَتْكَالنَعامَةِ في طَريقٍحامِ?","{'text': ['الكامل', 'الطويل', 'الهزج', 'الرجز'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem64.html
