id,question,choices,answerKey,source
2000,"ما هو البحر الشعري لهذا البيت
                        قَد تَقَطَرنَ بالعبيرِ ومَسكٍ - وَتَكَبَينَ بالكباءِ ذكيا?","{'text': ['الخفيف', 'مجزوء الدوبيت', 'مجزوء المواليا', 'المتدارك المنهوك'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem27.html
2002,"ما هو البحر الشعري لهذا البيت
                        عَلِّلاني وعلِّلا صاحبيّ - وآسقياني منَالمُروّقِريّا?","{'text': ['الخفيف', 'المتدارك', 'مخلع الكامل', 'مربع الرجز'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem28.html
2004,"ما هو البحر الشعري لهذا البيت
                        إِنَّ فيناالقيانيَعزِفنَ بالدُ - فِ لفتياننا وعيشاً رخيّا?","{'text': ['الخفيف', 'مجزوء الوافر', 'السلسلة', 'مجزوء المواليا'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem28.html
2006,"ما هو البحر الشعري لهذا البيت
                        يتبارَين في النَعيم ويصُببنَ - خِلالَ القرونِ مِسكاً ذكيّا?","{'text': ['الخفيف', 'المتدارك', 'مجزوء الخفيف', 'مجزوء الدوبيت'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem28.html
2008,"ما هو البحر الشعري لهذا البيت
                        إِنما هُمهنّ أَن يَتحلَّينسُ - موطاًوسُنبلاًفارسياً?","{'text': ['الخفيف', 'مجزوء الخفيف', 'التفعيله', 'مجزوء الكامل'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem28.html
2010,"ما هو البحر الشعري لهذا البيت
                        منسموط المرجان فُصِّلَ بالشّذ - رِ فأَحسِن بحليِهنَّ حُليّا?","{'text': ['الخفيف', 'البسيط', 'السريع', 'السريع'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem28.html
2012,"ما هو البحر الشعري لهذا البيت
                        وفتىً يضربُ الكتيبةَ بالسَيفِ - اذا كانتِ السيوفُ عِصيا?","{'text': ['الخفيف', 'القوما', 'الكامل', 'مخلع موشح'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem28.html
2014,"ما هو البحر الشعري لهذا البيت
                        إِننا لا نُسَرُّ في غيرِ نجدٍ - إِنَّ فينا بها فتىً خزرجيّا?","{'text': ['الخفيف', 'الدوبيت', 'منهوك الكامل', 'تفعيلة الكامل'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem28.html
2016,"ما هو البحر الشعري لهذا البيت
                        يدفعُ الضَيمَ والظُلامةَ عنه - فَتَجافي عنه لنا يامَنيّا?","{'text': ['الخفيف', 'أحذ الكامل', 'التفعيله', 'الدوبيت'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem28.html
2018,"ما هو البحر الشعري لهذا البيت
                        أَبلغِ الحارثَ بن ظالمِ الرعْـ - ـديدِوالناذر النُذور عَلِيَّا?","{'text': ['الخفيف', 'منهوك الرجز', 'مجزوء المجتث', 'المضارع'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem28.html
