id,question,choices,answerKey,source
2000,"ما هو البحر الشعري لهذا البيت
                        أَلا مَن مُبلِغُ الأَحلافِ عَنِّي - فَقَد تُهدَى النَصيحة للنصيحِ?","{'text': ['الوافر', 'مجزوء المنسرح', 'الرمل', 'تفعيلة الرمل'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem22.html
2002,"ما هو البحر الشعري لهذا البيت
                        فأنَّكم وماتُزجُونَنحوي - مِنَ القَولِالمُرَغَّىوالصَريحِ?","{'text': ['الوافر', 'منهوك البسيط', 'مجزوء البسيط', 'القوما'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem22.html
2004,"ما هو البحر الشعري لهذا البيت
                        سَيَندَمُ بَعضُكُم عَجلاً عليه - وما أَثرى اللِسانُ إِلى الجَرُوحِ?","{'text': ['الوافر', 'المجتث', 'تفعيلة الرجز', 'الطويل'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem22.html
2006,"ما هو البحر الشعري لهذا البيت
                        ابت لي عفَّتِي وأَبى بَلائي - وأَخذِي الحَمدَ بالثَمَنِ الرَبِيحِ?","{'text': ['الوافر', 'مجزوء المتقارب', 'مجزوء الخفيف', 'مجزوء المنسرح'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem22.html
2008,"ما هو البحر الشعري لهذا البيت
                        وإِعطائي على المكروهِ مالي - وضَربي هامَةَ البَطَلِ المُشِيحِ?","{'text': ['الوافر', 'مشطور الرجز', 'المتدارك المنهوك', 'أحذ الكامل'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem22.html
2010,"ما هو البحر الشعري لهذا البيت
                        بِذيشطَبٍكَلَونِ المِلحِ صافٍ - ونَفسٍ ما تَقر على القبيحِ?","{'text': ['الوافر', 'البسيط', 'المنسرح', 'مخلع السريع'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem22.html
2012,"ما هو البحر الشعري لهذا البيت
                        وقَولي كَلَّما جَشأت وجاشَت - مَكانَكِ تُحمَدِي أو تستريحي?","{'text': ['الوافر', 'مجزوء الطويل', 'مجزوء المواليا', 'مجزوء الرمل'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem22.html
2014,"ما هو البحر الشعري لهذا البيت
                        لأَدفَعَ عَن مآثرَ صالحاتٍ - وأحمي بَعدُ عن عِرضٍ صَحِيحِ?","{'text': ['الوافر', 'مجزوء السريع', 'مجزوء السريع', 'مجزوء الوافر'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem22.html
2016,"ما هو البحر الشعري لهذا البيت
                        أُهِينُ المالَ فيما بَينَ قَومِي - وأدفَعُ عَنهمُ سُنَنَ المَنِيحِ?","{'text': ['الوافر', 'مجزوء المديد', 'مخلع الرمل', 'البسيط'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem22.html
2018,"ما هو البحر الشعري لهذا البيت
                        ابت لي أَن أُقضِّي في فعالي - وأَن أُغضِي على أمرٍ قبيحِ?","{'text': ['الوافر', 'منهوك الكامل', 'تفعيلة الكامل', 'تفعيلة المتقارب'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem22.html
2020,"ما هو البحر الشعري لهذا البيت
                        فأما رُحتُ بالشرفِ المُعلى - وإِما رُحتُ بالموتِ المُرِيحِ?","{'text': ['الوافر', 'مجزوء المتقارب', 'مجزوء البسيط', 'مشطور الطويل'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem22.html
2022,"ما هو البحر الشعري لهذا البيت
                        قرَت أحسابُنا كرما فأَبدَت - لنا الضراءُ عن أُدُمٍ صحاحِ?","{'text': ['الوافر', 'الدوبيت', 'الدوبيت', 'المقتضب'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem22.html
2024,"ما هو البحر الشعري لهذا البيت
                        ولم يُظهر لنا عُقراتِ سَوءٍ - جمودُ القطرِ أو بكءُ اللقاحِ?","{'text': ['الوافر', 'مجزوء الطويل', 'منهوك الكامل', 'مجزوء المجتث'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem22.html
2026,"ما هو البحر الشعري لهذا البيت
                        وبعضُ القولِ ليسَ له عِنَاجٌ - كمحضِ الماءِ لَيسَ لهُ إِتاءُ?","{'text': ['الوافر', 'مخلع الكامل', 'مجزوء السريع', 'مخلع الرمل'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem29.html
2028,"ما هو البحر الشعري لهذا البيت
                        بَكَى فَرثَت له أَجبالُ صُبحٍ - وأسعَدتِ الجِبالَ بهامُرُوتُ?","{'text': ['الوافر', 'مربع الرجز', 'مجزوء الدوبيت', 'منهوك الرجز'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem34.html
2030,"ما هو البحر الشعري لهذا البيت
                        حِجَازِيُّ الهَوَى عَلِقٌ بِنَجدٍ - جَوِيٌّ لا يَعِيشُ ولا يَمُوتُ?","{'text': ['الوافر', 'منهوك المنسرح', 'منهوك المنسرح', 'مجزوء المقتضب'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem34.html
2032,"ما هو البحر الشعري لهذا البيت
                        فَتَردَعُهالدَّبُورلها أَجِيجٌ - ويُسلِمه إِلى الوَجدِ المَبِيتُ?","{'text': ['الوافر', 'المقتضب', 'مجزوء الرجز', 'الرمل'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem34.html
2034,"ما هو البحر الشعري لهذا البيت
                        كأَنَّ فؤادَه كَفَّا غَرِيقٍ - تَنازَعَهُ بِشَطِّ البَحرِ حُوتُ?","{'text': ['الوافر', 'مخلع موشح', 'مخلع الكامل', 'مخلع السريع'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem34.html
2036,"ما هو البحر الشعري لهذا البيت
                        لِهندٍ منكَعَينٌ ذاتُ سَجلٍ - وقَلبٌ سَوفَ يُفقَدُ أَو يَفُوتُ?","{'text': ['الوافر', 'منهوك الرجز', 'السريع', 'مربع الرجز'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem34.html
2038,"ما هو البحر الشعري لهذا البيت
                        إِذا اكتَنَفا بِضَرِّهِما سَقِيماً - يُعادِى الدّاء ليس لَهُمُقِيتُ?","{'text': ['الوافر', 'تفعيلة الرجز', 'منهوك الكامل', 'الرمل'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem34.html
2040,"ما هو البحر الشعري لهذا البيت
                        وَقَالُوا لَن تَنَألَ الدَّهرَ فَقراً - إِذَا شَكَرَتكَ نِعمَتَكَ الوَحِيدُ?","{'text': ['الوافر', 'منهوك المنسرح', 'المواليا', 'مجزوء المنسرح'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem36.html
2042,"ما هو البحر الشعري لهذا البيت
                        فَيَا نَدَماً نَدِمتُ عَلَى رِزَامٍ - وَمُخلفة كما خُلِعالعَتُودُ?","{'text': ['الوافر', 'الخفيف', 'الطويل', 'مجزوء المتقارب'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem36.html
2044,"ما هو البحر الشعري لهذا البيت
                        أَلاَ أبلِغ بَني العَجلاَنِ عَنّي - فَلاَ يُنبِيكَ بِالحَدَثانِ غَيرِي?","{'text': ['الوافر', 'مجزوء البسيط', 'البسيط', 'مشطور السريع'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem40.html
2046,"ما هو البحر الشعري لهذا البيت
                        بَأنَّا قَد قَتَلنَا الخَيرَ قُرطاً - وَجُلنَا في سَراةِ بَني نُمَير?","{'text': ['الوافر', 'المضارع', 'الكامل', 'مجزوء المتقارب'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem40.html
2048,"ما هو البحر الشعري لهذا البيت
                        وأفلَتَنَا بَنُو شَكَلٍ رِجَالاً - حُفاةً يَربَؤُونَ عَلَى سُمَيرِ?","{'text': ['الوافر', 'مخلع السريع', 'مجزوء الهزج', 'الخبب'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem40.html
2050,"ما هو البحر الشعري لهذا البيت
                        أَراناموضِعينَلِأَمرِغَيبٍ - وَنُسحَرُبِالطَعامِ وَبِالشَرابِ?","{'text': ['الوافر', 'مربع الرجز', 'التفعيله', 'البسيط'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem60.html
2052,"ما هو البحر الشعري لهذا البيت
                        عَصافيرٌ وَذِبّانٌ وَدودٌ - وَأَجرَأُ مِنمُجَلَّحَةِالذِئابِ?","{'text': ['الوافر', 'الرمل', 'التفعيله', 'مجزوء السريع'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem60.html
2054,"ما هو البحر الشعري لهذا البيت
                        فَبَعضَ اللومِ عاذِلَتي فَإِنّي - سَتَكفيني التَجارِبُ وَاِنتِسابي?","{'text': ['الوافر', 'مجزوء المنسرح', 'مخلع الرمل', 'الكامل'], 'label': ['A', 'B', 'C', 'D']}",A,https://www.aldiwan.net/poem60.html
